"","es","med","l","p","rnum","nr"
"1","10","0.5","Luz","10",25.715,4
"2","10","0.5","Luz","11",29.1625,4
"3","10","0.5","Luz","12",41.935,2
"4","10","0.5","Luz","13",0,0
"5","10","0.5","Luz","14",43.76,4
"6","10","0.5","Luz","15",27.0666666666667,3
"7","10","0.5","Luz","16",28.17,3
"8","10","0.5","Luz","9",25.76,1
"9","10","0.5","Oscuridad","1",20.795,2
"10","10","0.5","Oscuridad","2",0,0
"11","10","0.5","Oscuridad","3",17,1
"12","10","0.5","Oscuridad","4",0,0
"13","10","0.5","Oscuridad","5",0,0
"14","10","0.5","Oscuridad","6",0,0
"15","10","0.5","Oscuridad","7",47.63,1
"16","10","0.5","Oscuridad","8",0,0
"17","10","1","Luz","5",0,0
"18","10","1","Luz","6",22.735,2
"19","10","1","Luz","7",0,0
"20","10","1","Luz","8",29.831,10
"21","10","1","Oscuridad","1",20.17,2
"22","10","1","Oscuridad","2",28.1025,4
"23","10","1","Oscuridad","3",19.38,1
"24","10","1","Oscuridad","4",35.29,1
"25","10","P4","Luz","11",19.46,1
"26","10","P4","Luz","12",17.6833333333333,3
"27","10","P4","Luz","13",34.4133333333333,3
"28","10","P4","Luz","14",0,0
"29","10","P4","Luz","15",22.5718181818182,11
"30","10","P4","Luz","16",22.825,4
"31","10","P4","Luz","17",24.9675,4
"32","10","P4","Oscuridad","1",12.35,7
"33","10","P4","Oscuridad","10",15.39,1
"34","10","P4","Oscuridad","2",25.157,10
"35","10","P4","Oscuridad","3",25.985,8
"36","10","P4","Oscuridad","4",28.6414285714286,7
"37","10","P4","Oscuridad","5",22.625,4
"38","10","P4","Oscuridad","6",28.38,2
"39","10","P4","Oscuridad","7",0,0
"40","10","P4","Oscuridad","8",23.3,3
"41","10","P4","Oscuridad","9",0,0
"42","11","0.5","Luz","Ninguna plántula desarrolló raíces.",NA,5
"43","11","1","Luz","10",32.61,11
"44","11","1","Luz","11",24.5283333333333,7
"45","11","1","Luz","12",15.08,1
"46","11","1","Luz","13",41.45,1
"47","11","1","Luz","14",0,0
"48","11","1","Luz","15",20.78,2
"49","11","1","Luz","16",31.72,1
"50","11","1","Luz","17",28.135,2
"51","11","1","Oscuridad","1",0,0
"52","11","1","Oscuridad","2",0,0
"53","11","1","Oscuridad","3",0,0
"54","11","1","Oscuridad","4",19.62,1
"55","11","1","Oscuridad","5",0,0
"56","11","1","Oscuridad","6",34.655,4
"57","11","1","Oscuridad","7",26.765,2
"58","11","1","Oscuridad","8",0,0
"59","11","1","Oscuridad","9",33.76,2
"60","11","P4","Luz","10",22.75,2
"61","11","P4","Luz","11",79.09,3
"62","11","P4","Luz","12",34.1033333333333,3
"63","11","P4","Luz","13",0,0
"64","11","P4","Luz","14",66.425,2
"65","11","P4","Luz","15",67.66,5
"66","11","P4","Luz","9",17.1,1
"67","11","P4","Oscuridad","1",32.24,4
"68","11","P4","Oscuridad","2",26.598,5
"69","11","P4","Oscuridad","3",35.892,5
"70","11","P4","Oscuridad","4",19.7266666666667,3
"71","11","P4","Oscuridad","5",0,0
"72","11","P4","Oscuridad","6",26.6,1
"73","11","P4","Oscuridad","7",0,0
"74","11","P4","Oscuridad","8",0,0
"75","11","0.5","Oscuridad","1",0,0
"76","11","0.5","Oscuridad","2",0,0
"77","11","0.5","Oscuridad","3",0,0
"78","11","0.5","Oscuridad","4",0,0
"79","11","0.5","Oscuridad","5",0,0
"80","11","0.5","Oscuridad","6",0,0
"81","11","0.5","Oscuridad","7",0,0
"82","11","0.5","Luz","8",0,0
"83","11","0.5","Luz","9",0,0
"84","11","0.5","Luz","10",0,0
"85","11","0.5","Luz","11",0,0
"86","11","0.5","Luz","12",0,0
"87","11","0.5","Luz","13",0,0
"88","11","0.5","Luz","14",0,0
