es,med,l,p,rnum,nr
10,0.5,Luz,10,25.715,4
10,0.5,Luz,11,29.1625,4
10,0.5,Luz,12,41.935,2
10,0.5,Luz,13,0,0
10,0.5,Luz,14,43.76,4
10,0.5,Luz,15,27.066666666666666,3
10,0.5,Luz,16,28.17,3
10,0.5,Luz,9,25.76,1
10,0.5,Oscuridad,1,20.795,2
10,0.5,Oscuridad,2,0,0
10,0.5,Oscuridad,3,17,1
10,0.5,Oscuridad,4,0,0
10,0.5,Oscuridad,5,0,0
10,0.5,Oscuridad,6,0,0
10,0.5,Oscuridad,7,47.63,1
10,0.5,Oscuridad,8,0,0
10,1,Luz,5,0,0
10,1,Luz,6,22.735,2
10,1,Luz,7,0,0
10,1,Luz,8,29.831,10
10,1,Oscuridad,1,20.17,2
10,1,Oscuridad,2,28.1025,4
10,1,Oscuridad,3,19.38,1
10,1,Oscuridad,4,35.29,1
10,P4,Luz,11,19.46,1
10,P4,Luz,12,17.683333333333334,2
10,P4,Luz,13,34.413333333333334,3
10,P4,Luz,14,0,0
10,P4,Luz,15,22.57181818181818,11
10,P4,Luz,16,22.825,4
10,P4,Luz,17,24.9675,4
10,P4,Oscuridad,1,12.35,7
10,P4,Oscuridad,10,15.39,1
10,P4,Oscuridad,2,25.157,10
10,P4,Oscuridad,3,25.985,8
10,P4,Oscuridad,4,28.641428571428573,7
10,P4,Oscuridad,5,22.625,4
10,P4,Oscuridad,6,28.380000000000003,2
10,P4,Oscuridad,7,0,0
10,P4,Oscuridad,8,23.3,3
10,P4,Oscuridad,9,0,0
11,1,Luz,10,32.61,11
11,1,Luz,11,24.528333333333332,7
11,1,Luz,12,15.08,1
11,1,Luz,13,41.45,1
11,1,Luz,14,0,0
11,1,Luz,15,20.78,2
11,1,Luz,16,31.72,1
11,1,Luz,17,28.134999999999998,2
11,1,Oscuridad,1,0,0
11,1,Oscuridad,2,0,0
11,1,Oscuridad,3,0,0
11,1,Oscuridad,4,19.62,1
11,1,Oscuridad,5,0,0
11,1,Oscuridad,6,34.655,3
11,1,Oscuridad,7,26.765,2
11,1,Oscuridad,8,0,0
11,1,Oscuridad,9,33.76,2
11,P4,Luz,10,22.75,2
11,P4,Luz,11,79.09,3
11,P4,Luz,12,34.10333333333333,3
11,P4,Luz,13,0,0
11,P4,Luz,14,66.42500000000001,2
11,P4,Luz,15,67.66,5
11,P4,Luz,9,17.1,1
11,P4,Oscuridad,1,32.24,4
11,P4,Oscuridad,2,26.598,5
11,P4,Oscuridad,3,35.892,5
11,P4,Oscuridad,4,19.726666666666667,3
11,P4,Oscuridad,5,0,0
11,P4,Oscuridad,6,26.6,1
11,P4,Oscuridad,7,0,0
11,P4,Oscuridad,8,0,0
