"","es","med","p","nr","r","lr","l"
"1","10","P4","1",7,"R1",26.68,"Oscuridad"
"2","10","P4","1",7,"R2",8.85,"Oscuridad"
"3","10","P4","1",7,"R3",14.13,"Oscuridad"
"4","10","P4","1",7,"R4",8.92,"Oscuridad"
"5","10","P4","1",7,"R5",11.02,"Oscuridad"
"6","10","P4","1",7,"R6",6.31,"Oscuridad"
"7","10","P4","1",7,"R7",10.54,"Oscuridad"
"8","10","P4","2",10,"R1",47.12,"Oscuridad"
"9","10","P4","2",10,"R2",26.08,"Oscuridad"
"10","10","P4","2",10,"R3",24.89,"Oscuridad"
"11","10","P4","2",10,"R4",26.88,"Oscuridad"
"12","10","P4","2",10,"R5",17.28,"Oscuridad"
"13","10","P4","2",10,"R6",20.16,"Oscuridad"
"14","10","P4","2",10,"R7",21.77,"Oscuridad"
"15","10","P4","2",10,"R8",27.45,"Oscuridad"
"16","10","P4","2",10,"R9",20.62,"Oscuridad"
"17","10","P4","2",10,"R10",19.32,"Oscuridad"
"18","10","P4","3",8,"R1",20.37,"Oscuridad"
"19","10","P4","3",8,"R2",39.02,"Oscuridad"
"20","10","P4","3",8,"R3",27.01,"Oscuridad"
"21","10","P4","3",8,"R4",28.26,"Oscuridad"
"22","10","P4","3",8,"R5",25.85,"Oscuridad"
"23","10","P4","3",8,"R6",28.82,"Oscuridad"
"24","10","P4","3",8,"R7",19.51,"Oscuridad"
"25","10","P4","3",8,"R8",19.04,"Oscuridad"
"26","10","P4","4",7,"R1",39.03,"Oscuridad"
"27","10","P4","4",7,"R2",35.74,"Oscuridad"
"28","10","P4","4",7,"R3",25.31,"Oscuridad"
"29","10","P4","4",7,"R4",25.4,"Oscuridad"
"30","10","P4","4",7,"R5",22.07,"Oscuridad"
"31","10","P4","4",7,"R6",23.53,"Oscuridad"
"32","10","P4","4",7,"R7",29.41,"Oscuridad"
"33","10","P4","5",4,"R1",23.35,"Oscuridad"
"34","10","P4","5",4,"R2",21.48,"Oscuridad"
"35","10","P4","5",4,"R3",25.28,"Oscuridad"
"36","10","P4","5",4,"R4",20.39,"Oscuridad"
"37","10","P4","6",2,"R1",29.8,"Oscuridad"
"38","10","P4","6",2,"R2",26.96,"Oscuridad"
"39","10","P4","7",0,"0",0,"Oscuridad"
"40","10","P4","8",3,"R1",28.37,"Oscuridad"
"41","10","P4","8",3,"R2",23.36,"Oscuridad"
"42","10","P4","8",3,"R3",18.17,"Oscuridad"
"43","10","P4","9",0,"0",0,"Oscuridad"
"44","10","P4","10",1,"R1",15.39,"Oscuridad"
"45","10","P4","11",1,"R1",19.46,"Luz"
"46","10","P4","12",2,"R1",19.59,"Luz"
"47","10","P4","12",2,"R2",17.11,"Luz"
"48","10","P4","12",2,"R3",16.35,"Luz"
"49","10","P4","13",3,"R1",34.65,"Luz"
"50","10","P4","13",3,"R2",44.04,"Luz"
"51","10","P4","13",3,"R3",24.55,"Luz"
"52","10","P4","14",0,"0",0,"Luz"
"53","10","P4","15",11,"R1",22.1,"Luz"
"54","10","P4","15",11,"R2",17.53,"Luz"
"55","10","P4","15",11,"R3",20.09,"Luz"
"56","10","P4","15",11,"R4",22.51,"Luz"
"57","10","P4","15",11,"R5",25.19,"Luz"
"58","10","P4","15",11,"R6",26.17,"Luz"
"59","10","P4","15",11,"R7",18.07,"Luz"
"60","10","P4","15",11,"R8",33.58,"Luz"
"61","10","P4","15",11,"R9",27.15,"Luz"
"62","10","P4","15",11,"R10",18.29,"Luz"
"63","10","P4","15",11,"R11",17.61,"Luz"
"64","10","P4","16",4,"R1",27.6,"Luz"
"65","10","P4","16",4,"R2",18.26,"Luz"
"66","10","P4","16",4,"R3",17.83,"Luz"
"67","10","P4","16",4,"R4",27.61,"Luz"
"68","10","P4","17",4,"R1",26.05,"Luz"
"69","10","P4","17",4,"R2",23.26,"Luz"
"70","10","P4","17",4,"R3",26.78,"Luz"
"71","10","P4","17",4,"R4",23.78,"Luz"
"72","10","0.5","1",2,"R1",25.33,"Oscuridad"
"73","10","0.5","1",2,"R2",16.26,"Oscuridad"
"74","10","0.5","2",0,"0",0,"Oscuridad"
"75","10","0.5","3",1,"R1",17,"Oscuridad"
"76","10","0.5","4",0,"0",0,"Oscuridad"
"77","10","0.5","5",0,"0",0,"Oscuridad"
"78","10","0.5","6",0,"0",0,"Oscuridad"
"79","10","0.5","7",1,"R1",47.63,"Oscuridad"
"80","10","0.5","8",0,"0",0,"Oscuridad"
"81","10","0.5","9",1,"R1",25.76,"Luz"
"82","10","0.5","10",4,"R1",39.55,"Luz"
